Model,DIC,logscore,WAIC
A-R_rain6,648.9542,3.808,651.8767
A-R_rain5,661.7989,3.897,666.5677
A-R_rain4,664.272,3.904,668.3626
A-R_rain3,661.2922,3.879,664.301
A-R_rain2,667.5674,3.914,671.5862
A-R_rain1,665.4723,3.891,669.7993
