"Model","MSE_pre","MSE_fit","Name"
"ModelE-W_1","0.20398127552907","0.0158402075157029","Model E-W_1"
"ModelE-P_1","0.303801642950384","0.0158402075157029","Model E-P_1"
"ModelE-R_1","0.178068299152179","0.013494869661235","Model E-R_1"
"ModelE_1","0.334910821895772","0.016526970839156","Model E_1"
