Model,DIC,logscore,WAIC
E-R_rain6,735.5989,4.685,781.5687
E-R_rain5,765.7225,5.034,829.0688
E-R_rain4,769.5542,4.995,830.1074
E-R_rain3,758.5354,4.917,817.217
E-R_rain2,787.6776,5.122,855.0385
E-R_rain1,787.685,5.013,846.2453
