Model,DIC,logscore,WAIC
T2+T1+S,1132.1211,7.129,1268.0264
T2+T1+S+tr,937.4423,6.261,1068.5527
T2+T1+S+tr+mt,778.6435,5.098,845.4951
T2+T1+S+tr+mt+P,775.8994,5.05,839.9264
T2+T1+S+tr+mt+R,735.5989,4.685,781.5688
T2+T1+S+tr+mt+W,750.3825,4.837,804.2551
